"k","alpha","ntop","lambda","nu","z_cutpoint","mean_cindex_dichot","se_cindex_dichot","mean_abs_logrank_z","se_abs_logrank_z"
2,0.2,NA,0.349,0.056,0.4,0.599499451178223,0.0299743972327004,2.1070909373752,0.778529560305364
2,0.2,NA,0.349,0.056,0.6,0.602550364784409,0.0278102214391227,2.30486478412041,0.721725884725041
2,0.2,NA,0.349,0.056,0.8,0.584686667367109,0.0282640039121759,2.15267035188479,0.752030410366538
2,0.2,NA,0.349,0.056,1,0.578532423909676,0.0244923350571279,2.05508345153093,0.704469307677374
2,0.2,NA,0.349,0.056,1.2,0.571028736988115,0.0192690095790976,2.14873112745679,0.685216760860966
2,0.2,NA,0.349,0.056,1.4,0.571154618394579,0.0177322454941522,2.23987154629328,0.616925480989238
2,0.2,NA,0.349,0.056,1.6,0.564067707093683,0.0157296902390309,2.74944043696333,0.730396955305362
2,0.2,NA,0.349,0.056,1.8,0.543693633004171,0.0111619430181931,2.34560469048607,0.703646287590244
2,0.2,NA,0.349,0.056,2,0.526600505122378,0.0073417076323711,1.61293185419685,0.34731441562792
2,0.25,270,0.349,0.056,-2,0.495420982533433,0.00805650178313267,0.766250435057441,0.654454936702778
2,0.25,270,0.349,0.056,-1.8,0.489152550030662,0.00222819246398661,0.603182212946479,0.163614445969478
2,0.25,270,0.349,0.056,-1.6,0.504104412807741,0.00566342256296327,0.695784672496901,0.140405361791178
2,0.25,270,0.349,0.056,-1.4,0.50992985929216,0.0061339087958581,0.520185558135433,0.137790116981175
2,0.25,270,0.349,0.056,-1.2,0.521283449488467,0.0124541891088827,0.529037259160342,0.293250980113887
2,0.25,270,0.349,0.056,-1,0.530560643266946,0.0193370955717011,0.838577321766978,0.321815372345645
2,0.25,270,0.349,0.056,-0.8,0.543008453531648,0.0212364533861232,0.949704321215928,0.335925854593213
2,0.25,270,0.349,0.056,-0.6,0.553035883242505,0.0239410629083508,0.834098842450931,0.350296884571965
2,0.25,270,0.349,0.056,-0.4,0.564816835802041,0.0233030632857954,1.13836123788022,0.454490356083047
2,0.25,270,0.349,0.056,-0.2,0.564705906233307,0.0126148875178459,1.00840429863835,0.220255524261962
2,0.25,270,0.349,0.056,0,0.583825065767307,0.0119731597205476,1.45220429495858,0.258175047789604
2,0.25,270,0.349,0.056,0.2,0.573470112028,0.0325141881308353,1.58865599572475,0.709878071257488
2,0.25,270,0.349,0.056,0.4,0.568485654401289,0.0308119480384819,1.44299647002043,0.735312706418781
2,0.25,270,0.349,0.056,0.6,0.559892628090078,0.0319474232196706,1.29158099444622,0.807934090324929
2,0.25,270,0.349,0.056,0.8,0.573683425642392,0.0284029171668468,1.68678106901948,0.756516896605708
2,0.25,270,0.349,0.056,1,0.559946593856931,0.0294697398016937,1.51357671859996,0.714370397697038
2,0.25,270,0.349,0.056,1.2,0.547074700948936,0.0246116924530004,1.65837825901471,0.481860298580159
2,0.25,270,0.349,0.056,1.4,0.549169454594092,0.0158467219068664,1.56494232847419,0.552505411367045
2,0.25,270,0.349,0.056,1.6,0.532188707312017,0.0135749627467844,1.58408032406183,0.521191405728428
2,0.25,270,0.349,0.056,1.8,0.522641170285395,0.0136365682594824,1.61252164114997,0.349119751224281
2,0.25,270,0.349,0.056,2,0.504813787596681,0.0101089600706495,1.30040867543158,0.298786414745896
2,0.25,NA,0.349,0.056,-2,0.501781472684085,NA,0.156061853099418,NA
