"k","alpha","ntop","lambda","nu","mean_cindex","se_cindex","optimal_z_cutpoint","mean_cindex_dichot","se_cindex_dichot","mean_abs_logrank_z","se_abs_logrank_z"
5,0.75,NA,0.3,0.05,0.654687022181219,0.00985464726073853,1.4,0.548385329324526,0.012210402769189,3.02195032650001,0.658367898121294
6,0.75,NA,0.3,0.05,0.64490595404106,0.0198690723375596,2,0.530626780626781,NA,3.79836670287228,NA
7,0.75,NA,0.3,0.05,0.642871034949923,0.0184126836135146,2,0.528179888663715,0.00132699207816349,3.63809669211164,0.177740967683911
8,0.75,NA,0.3,0.05,0.654508656117469,0.0172919081334056,1,0.58342726638359,0.0119481606950215,2.86783836376366,0.549443992073103
9,0.75,NA,0.3,0.05,0.644541839200136,0.00452036999972024,1.2,0.555230753308258,0.0112268879168101,2.78442187110592,0.639183053708193
10,0.75,NA,0.3,0.05,0.646124105147655,0.015886162547687,0.8,0.588894869862029,0.0248907085419948,2.76175767673248,0.77584528085305
11,0.75,NA,0.3,0.05,0.658135351608694,0.014342646237295,1.2,0.549030929376529,0.0130077833184197,2.93861016000581,0.919397738560242
12,0.75,NA,0.3,0.05,0.640602003178424,0.017971678133082,2,0.525093468910629,0.00193255250362781,2.70473406637843,0.867852294252298
2,0.8,NA,0.3,0.05,0.668169586362466,0.00817230505223045,1,0.59637127831449,0.0156990005272691,2.85092686479293,0.491400996334722
3,0.8,NA,0.3,0.05,0.649553149115826,0.0124384035092692,1,0.575308486620413,0.0128044065270427,2.5231280131251,0.706559297729135
4,0.8,NA,0.3,0.05,0.65339813678925,0.0143491030222135,2,0.528346565668841,0.00228021495794006,3.54076814544291,0.25759855742937
5,0.8,NA,0.3,0.05,0.655451973254102,0.0136686003497688,2,0.528346565668841,0.00228021495794006,3.54076814544291,0.25759855742937
6,0.8,NA,0.3,0.05,0.650065068210659,0.0131627755061938,1.4,0.546528218442052,0.00754762478095556,3.29517674893775,1.02023490598274
7,0.8,NA,0.3,0.05,0.636880010692383,0.0166578836989386,2,0.529236657640123,0.00139012298665764,3.8155602441607,0.0171935412884237
8,0.8,NA,0.3,0.05,0.64890738071492,0.0125810278826054,2,0.528179888663715,0.00132699207816349,3.63809669211164,0.177740967683911
9,0.8,NA,0.3,0.05,0.633925367390047,0.0200144329188058,2,0.530626780626781,NA,3.79836670287228,NA
10,0.8,NA,0.3,0.05,0.627119974247906,0.0157947049591708,2,0.530626780626781,NA,3.79836670287228,NA
11,0.8,NA,0.3,0.05,0.640793635321555,0.00842319099068597,1.4,0.548396795095799,0.0169586089187922,3.87558413280087,1.13439292660026
12,0.8,NA,0.3,0.05,0.633444832997655,0.0130785715898196,1.8,0.521296248454421,0.00545124962783936,2.83616383171891,0.86340921301953
