"method","factor","signature_raw","signature","r_RB","p_perm","q_BH","in_main_figure"
"DeSurv","D3 Basal-like","DECODER_ClassicalTumor","DECODER: Classical tumor",0.0974474394251061,0.0364981750912454,0.0703893376759733,FALSE
"DeSurv","D3 Basal-like","DECODER_ActivatedStroma","DECODER: Activated Stroma",-0.104934956438716,0.0665466726663667,0.11592001045109,FALSE
"DeSurv","D3 Basal-like","DECODER_NormalStroma","DECODER: Normal Stroma",-0.597203751065644,4.99975001249937e-05,0.000182423311266869,FALSE
"DeSurv","D3 Basal-like","DECODER_Immune","DECODER: Immune",-0.527277486910995,4.99975001249937e-05,0.000182423311266869,TRUE
"DeSurv","D3 Basal-like","DECODER_Exocrine","DECODER: Exocrine",-0.116020013216275,0.189740512974351,0.269631255279341,TRUE
"DeSurv","D3 Basal-like","DECODER_Endocrine","DECODER: Endocrine",-0.176566565621001,0.0175491225438728,0.0385224641206964,TRUE
"DeSurv","D3 Basal-like","Moffitt_Basal-like","Moffitt: Basal-like",0.311128205128205,0.0172491375431228,0.0381743207921571,TRUE
"DeSurv","D3 Basal-like","Moffitt_Classical","Moffitt: Classical",0.219624227320482,0.0821458927053647,0.134420551699688,TRUE
"DeSurv","D3 Basal-like","Moffitt_Activated","Moffitt: Activated",-0.122130866735183,0.304934753262337,0.39393484871211,TRUE
"DeSurv","D3 Basal-like","Moffitt_Normal","Moffitt: Normal",-0.570096060142002,0.000749962501874906,0.00235453343611889,TRUE
"DeSurv","D3 Basal-like","Moffitt_Immune","Moffitt: Immune",-0.329669211195929,0.206689665516724,0.283417301216157,TRUE
"DeSurv","D3 Basal-like","Collisson_Classical","Collisson: Classical",0.462152324061975,9.99950002499875e-05,0.00034613653932688,TRUE
"DeSurv","D3 Basal-like","Collisson_Exocrine","Collisson: Exocrine",-0.264614637567779,0.0466476676166192,0.0886962694118815,FALSE
"DeSurv","D3 Basal-like","Collisson_QM","Collisson: QM",0.0835035750766089,0.616719164041798,0.690930183781267,FALSE
"DeSurv","D3 Basal-like","Bailey_Squamous","Bailey: Squamous",0.237605078057986,0.032198390080496,0.0627378703007296,TRUE
"DeSurv","D3 Basal-like","Bailey_Immunogenic","Bailey: Immunogenic",-0.123949971999253,0.32198390080496,0.408148606654174,FALSE
"DeSurv","D3 Basal-like","Bailey_PancreaticProgenitor","Bailey: Pancreatic Progenitor",-0.145768139145623,0.511974401279936,0.593275057277179,FALSE
"DeSurv","D3 Basal-like","Bailey_ADEX","Bailey: ADEX",-0.24654297339243,0.00969951502424879,0.0225764573840273,FALSE
"DeSurv","D3 Basal-like","Chan-Seng-Yue_Basal-like A","Chan-Seng-Yue: Basal-like A",0.222958191541079,0.0251987400629969,0.0507735807239489,FALSE
"DeSurv","D3 Basal-like","Chan-Seng-Yue_Basal-like B","Chan-Seng-Yue: Basal-like B",0.199279093717817,0.0683465826708665,0.117392864533988,FALSE
"DeSurv","D3 Basal-like","Chan-Seng-Yue_Classical A","Chan-Seng-Yue: Classical A",0.0632695225243769,0.368131593420329,0.458043918080594,FALSE
"DeSurv","D3 Basal-like","Chan-Seng-Yue_Classical B","Chan-Seng-Yue: Classical B",-0.0155883478347668,0.88365581720914,0.921185600951613,FALSE
"DeSurv","D3 Basal-like","Maurer_ECM","Maurer: ECM",-0.0924171640295628,0.0686965651717414,0.117392864533988,TRUE
"DeSurv","D3 Basal-like","Maurer_Immune","Maurer: Immune",-0.355254305526861,4.99975001249937e-05,0.000182423311266869,FALSE
